team,team_name,Unnamed: 0,Unnamed: 1,期待値,ゴール,差分,成績順位,table_index,被ゴール
hiro,サンフレッチェ広島広島,,サンフレッチェ広島広島,1.91,1.41,-0.5,4,0,
kobe,ヴィッセル神戸神戸,,ヴィッセル神戸神戸,1.718,1.47,-0.248,1,0,
FCtk,ＦＣ東京FC東京,,ＦＣ東京FC東京,1.631,1.59,-0.041,2,0,
kasm,鹿島アントラーズ鹿島,,鹿島アントラーズ鹿島,1.445,1.65,0.205,1,0,
uraw,浦和レッズ浦和,,浦和レッズ浦和,1.437,1.41,-0.027,5,0,
g-os,ガンバ大阪Ｇ大阪,,ガンバ大阪Ｇ大阪,1.432,1.41,-0.022,6,0,
nago,名古屋グランパス名古屋,,名古屋グランパス名古屋,1.431,1.71,0.279,2,0,
kasw,柏レイソル柏,,柏レイソル柏,1.395,0.88,-0.515,8,0,
c-os,セレッソ大阪Ｃ大阪,,セレッソ大阪Ｃ大阪,1.36,1.35,-0.01,3,0,
ngsk,Ｖ・ファーレン長崎長崎,,Ｖ・ファーレン長崎長崎,1.312,1.18,-0.132,8,0,
okay,ファジアーノ岡山岡山,,ファジアーノ岡山岡山,1.253,1.29,0.037,5,0,
y-fm,横浜Ｆ・マリノス横浜FM,,横浜Ｆ・マリノス横浜FM,1.201,1.29,0.089,9,0,
chib,ジェフユナイテッド千葉千葉,,ジェフユナイテッド千葉千葉,1.194,0.94,-0.254,10,0,
ka-f,川崎フロンターレ川崎Ｆ,,川崎フロンターレ川崎Ｆ,1.171,1.12,-0.051,6,0,
shim,清水エスパルス清水,,清水エスパルス清水,1.163,1.0,-0.163,7,0,
mcd,ＦＣ町田ゼルビア町田,,ＦＣ町田ゼルビア町田,1.132,1.29,0.158,3,0,
kyot,京都サンガF.C.京都,,京都サンガF.C.京都,1.111,1.06,-0.051,10,0,
mito,水戸ホーリーホック水戸,,水戸ホーリーホック水戸,1.025,1.0,-0.025,7,0,
fuku,アビスパ福岡福岡,,アビスパ福岡福岡,0.959,1.0,0.041,9,0,
tk-v,東京ヴェルディ東京Ｖ,,東京ヴェルディ東京Ｖ,0.893,1.06,0.167,4,0,
FCtk,ＦＣ東京FC東京,,ＦＣ東京FC東京,0.883,,-0.003,2,1,0.88
hiro,サンフレッチェ広島広島,,サンフレッチェ広島広島,1.033,,0.087,4,1,1.12
kasm,鹿島アントラーズ鹿島,,鹿島アントラーズ鹿島,1.035,,-0.505,1,1,0.53
tk-v,東京ヴェルディ東京Ｖ,,東京ヴェルディ東京Ｖ,1.096,,0.024,4,1,1.12
kobe,ヴィッセル神戸神戸,,ヴィッセル神戸神戸,1.107,,0.133,1,1,1.24
y-fm,横浜Ｆ・マリノス横浜FM,,横浜Ｆ・マリノス横浜FM,1.146,,0.384,9,1,1.53
uraw,浦和レッズ浦和,,浦和レッズ浦和,1.147,,-0.207,5,1,0.94
okay,ファジアーノ岡山岡山,,ファジアーノ岡山岡山,1.156,,0.084,5,1,1.24
mcd,ＦＣ町田ゼルビア町田,,ＦＣ町田ゼルビア町田,1.157,,-0.097,3,1,1.06
fuku,アビスパ福岡福岡,,アビスパ福岡福岡,1.217,,0.313,9,1,1.53
kasw,柏レイソル柏,,柏レイソル柏,1.243,,0.047,8,1,1.29
g-os,ガンバ大阪Ｇ大阪,,ガンバ大阪Ｇ大阪,1.403,,-0.163,6,1,1.24
nago,名古屋グランパス名古屋,,名古屋グランパス名古屋,1.413,,-0.003,2,1,1.41
shim,清水エスパルス清水,,清水エスパルス清水,1.431,,-0.311,7,1,1.12
mito,水戸ホーリーホック水戸,,水戸ホーリーホック水戸,1.445,,0.315,7,1,1.76
c-os,セレッソ大阪Ｃ大阪,,セレッソ大阪Ｃ大阪,1.615,,-0.675,3,1,0.94
kyot,京都サンガF.C.京都,,京都サンガF.C.京都,1.631,,-0.161,10,1,1.47
ka-f,川崎フロンターレ川崎Ｆ,,川崎フロンターレ川崎Ｆ,1.633,,-0.103,6,1,1.53
ngsk,Ｖ・ファーレン長崎長崎,,Ｖ・ファーレン長崎長崎,1.644,,-0.054,8,1,1.59
chib,ジェフユナイテッド千葉千葉,,ジェフユナイテッド千葉千葉,1.74,,-0.15,10,1,1.59
