Team,Previous_Manager,Resignation_Date,Interim_Manager,New_Manager,Appointment_Date,Notes,Year
横浜FC,下平隆宏,4月7日,,早川知伸,4月8日,ユース監督からの異動,2021
鹿島アントラーズ,ザーゴ,4月14日,,相馬直樹,4月14日,コーチからの昇格,2021
ガンバ大阪,宮本恒靖,5月13日,松波正信（強化アカデミー部長）,松波正信,6月1日,強化アカデミー部長からの異動,2021
横浜F・マリノス,アンジェ・ポステコグルー,6月10日,松永英機（アカデミーダイレクター）,ケヴィン・マスカット,8月5日,外部からの招聘,2021
セレッソ大阪,レヴィー・クルピ,8月26日,,小菊昭雄,8月26日,コーチからの昇格,2021
湘南ベルマーレ,浮嶋敏,8月31日,,山口智,9月1日,コーチからの昇格,2021
サンフレッチェ広島,城福浩,10月25日,,沢田謙太郎,10月26日,ヘッドコーチからの昇格,2021
清水エスパルス,ロティーナ,11月4日,,平岡宏章,11月4日,コーチからの昇格,2021
FC東京,長谷川健太,11月7日,,森下申一,11月10日,GKコーチからの異動,2021
ベガルタ仙台,手倉森誠,11月23日,,原崎政人,11月23日,ヘッドコーチからの昇格,2021
ヴィッセル神戸,三浦淳寛,3月20日,リュイス・プラナグマ （ヤングプレイヤー デベロップメントコーチ）,ロティーナ,4月8日,外部からの招聘,2022
清水エスパルス,平岡宏章,5月30日,篠田善之,ゼ・リカルド,6月7日,外部からの招聘,2022
ヴィッセル神戸,ロティーナ,6月29日,,吉田孝行,6月29日,強化部スタッフからの異動,2022
鹿島アントラーズ,レネ・ヴァイラー,8月7日,,岩政大樹,8月8日,コーチからの昇格,2022
ジュビロ磐田,伊藤彰,8月14日,,渋谷洋樹,8月17日,ヘッドコーチからの昇格,2022
ガンバ大阪,片野坂知宏,8月16日,,松田浩,8月17日,コーチからの昇格,2022
柏レイソル,ネルシーニョ,5月17日,,井原正巳,5月17日,ヘッドコーチからの昇格,2023
FC東京,アルベル・プッチ・オルトネダ,6月14日,安間貴義,ピーター・クラモフスキー,6月20日,外部からの招聘,2023
横浜F・マリノス,ハリー・キューウェル,7月15日,ジョン・ハッチンソン,,,,2024
サガン鳥栖,川井健太,8月9日,,木谷公亮,8月9日,テクニカルダイレクターからの異動,2024
浦和レッズ,ペア＝マティアス・ヘグモ,8月26日,池田伸康（コーチ）,マチェイ・スコルジャ,9月7日,外部からの招聘（復帰）,2024
鹿島アントラーズ,ランコ・ポポヴィッチ,10月6日,,中後雅喜,10月9日,コーチからの昇格,2024
横浜F・マリノス,スティーブ・ホーランド,4月18日,パトリック・キスノーボ,パトリック・キスノーボ,5月5日,ヘッドコーチからの昇格,2025
横浜F・マリノス,パトリック・キスノーボ,6月19日,大島秀夫,大島秀夫,6月24日,ヘッドコーチからの昇格,2025
アルビレックス新潟,樹森大介,6月22日,,入江徹,6月23日,コーチからの昇格,2025
横浜FC,四方田修平,7月23日,,三浦文丈,7月23日,コーチからの昇格,2025
